shot,arg01,arg02,arg03,arg04,val01,val02,val03,val04,b01,b02,b03,b04,debug01,debug02,debug03,debug04,maxmin
1,3258,3257,3258,3258,0.17911459221474163,0.08457740012355427,0.16669617128906672,0.08395381730572442,True,True,False,False,"[167, 187]","[166, 186]","[167, 187]","[166, 186]",1
2,9612,9612,9609,9605,-0.7552055785158509,-0.2377105321816393,1.2882763933612502,1.2561220930796695,False,False,True,True,"[356, 376]","[355, 375]","[356, 376]","[355, 375]",7
3,5285,5285,5263,5263,-0.6015989652879473,-0.23596574590585612,1.715576722810769,1.3719164787595455,False,False,True,True,"[350, 370]","[353, 373]","[341, 361]","[343, 363]",22
4,4789,4790,4790,4791,0.8456408018690859,0.8449754382600739,-0.16235347965527086,0.30909755744581996,True,True,False,False,"[159, 179]","[156, 176]","[155, 175]","[154, 174]",2
5,4360,4360,4357,4356,-0.41718441988683364,0.04507283160872461,1.248929128633626,1.2691232797445544,False,False,True,True,"[253, 273]","[256, 276]","[251, 271]","[250, 270]",4
6,4048,4048,4046,4047,-0.5345136023215684,-0.08606169555363484,0.7496670338252626,0.7230647799397075,False,False,True,True,"[110, 130]","[117, 137]","[118, 138]","[116, 136]",2
7,2053,2052,2053,2052,0.9258079149548561,0.06135468825972442,0.906624948597775,-0.09474801031452011,True,False,True,False,"[217, 237]","[218, 238]","[218, 238]","[218, 238]",1
8,3595,3595,3592,3592,-0.564275093617317,-0.21012808635468289,2.3591727888827787,1.4266141631578066,False,False,True,True,"[268, 288]","[268, 288]","[266, 286]","[266, 286]",3
9,3481,3482,3479,3479,0.31145555238014266,-0.09411797456375565,2.3923324732464057,0.7178458484233629,False,False,True,True,"[1392, 1412]","[1395, 1415]","[1392, 1412]","[1391, 1411]",3
10,2225,2207,2151,2217,1.110986893010385,0.31061080136011476,1.001883973081071,0.2738307742922966,False,True,False,True,"[166, 186]","[154, 174]","[106, 126]","[148, 168]",74
11,3204,3205,3201,3201,-0.2135263062170915,-0.3156449517901545,2.6698167832604374,0.9997540244664005,False,False,True,True,"[1052, 1072]","[1063, 1083]","[1051, 1071]","[1054, 1074]",4
12,1996,2017,1972,2016,1.1560075852728877,0.4316288371951411,1.0434922632465378,0.41986245391627686,False,True,False,True,"[101, 121]","[107, 127]","[82, 102]","[104, 124]",45
