shot,arg01,arg02,arg03,arg04,val01,val02,val03,val04,b01,b02,b03,b04,debug01,debug02,debug03,debug04,maxmin
1,2494,2631,2455,2644,0.0011929824561404743,-0.0019624060150375527,-0.011167919799498695,-0.004365914786967408,False,True,True,False,2730.0,2833.0,2746.0,2859.0,189
2,4369,4369,4375,4368,0.006832080200501215,-0.00014786967418540525,-0.0003508771929823154,0.004363408521303281,False,True,True,False,4746.0,5044.0,4891.0,5202.0,7
3,1372,1390,1320,1389,-0.0010150375939849503,-0.004977443609022567,0.004378446115288225,-0.004776942355889699,False,True,False,True,1889.0,2345.0,2228.0,2542.0,70
4,1280,1300,1234,1301,-0.007779448621553828,-0.0054611528822054905,0.009854636591478677,0.00051378446115288,False,True,True,False,1818.0,2183.0,1794.0,2113.0,67
5,1210,1215,1158,2000,0.0052055137844611785,0.002523809523809523,-0.00029072681704260517,0.2434536340852136,False,True,True,False,1680.0,2009.0,1770.0,2050.0,842
6,1201,1227,1151,1171,-0.002606516290726718,0.0017543859649122714,0.010974937343358408,-0.002679197994987485,False,False,True,True,1646.0,1899.0,1590.0,1865.0,76
7,1414,1956,1422,1946,0.03554887218045116,0.048696741854636495,0.04677443609022558,-0.10585213032581428,True,False,False,True,1647.0,2070.0,1731.0,2195.0,542
8,1210,1215,1139,1228,0.010388471177944905,-0.012568922305764408,0.019616541353383476,0.012959899749373435,False,True,True,False,1678.0,1709.0,1855.0,1817.0,89
9,1585,1234,1623,1194,0.2487117794486217,-0.003629072681704257,0.32405513784461176,0.010774436090225563,False,True,True,False,1662.0,1497.0,1743.0,1535.0,429
10,1529,1175,1438,1150,0.2255313283208019,-0.009270676691729304,0.1502230576441103,0.005230576441102762,False,True,False,True,1663.0,1451.0,1700.0,1461.0,379
11,1375,1371,1289,1332,0.1811629072681702,0.05917293233082702,0.15614536340852125,0.0688972431077694,False,False,True,True,1512.0,1446.0,1579.0,1522.0,86
12,1507,1399,1333,1290,0.2996065162907269,0.0712556390977444,0.19042606516290736,0.05249373433583958,False,False,True,True,1557.0,1421.0,1554.0,1388.0,217
13,1447,1248,1807,1261,0.1374285714285713,0.0005363408521303042,0.5241428571428562,0.022137844611528814,True,False,True,False,1688.0,1427.0,1808.0,1342.0,559
14,1256,1399,1168,1314,0.07951127819548875,0.058343358395989926,0.04380200501253133,0.019897243107769438,False,True,False,True,1578.0,1461.0,1664.0,1443.0,231
15,1626,1709,3005,1692,0.02036090225563909,-0.020373433583959943,0.4930902255639095,-0.0018621553884711679,True,False,True,False,2865.0,2266.0,3006.0,2160.0,1379
16,1432,1502,1408,1530,0.031005012531328344,-0.03260651629072693,0.03474436090225561,-0.00554887218045112,False,True,True,False,1989.0,2594.0,2458.0,2769.0,122
17,1418,1474,1384,1456,0.0036791979949875064,-0.011393483709273159,0.051616541353383484,-0.0016416040100250585,False,True,False,True,1990.0,2444.0,2314.0,2605.0,90
18,1396,1432,1347,1432,-0.004403508771929796,-0.010002506265664134,0.049328320802004944,-0.0013483709273182905,False,True,True,False,1947.0,2408.0,2020.0,2430.0,85
19,1269,1306,1262,1330,0.007796992481203012,-0.0011152882205513776,0.05034837092731837,-0.005804511278195426,False,True,True,False,1850.0,2248.0,1791.0,2150.0,68
20,1213,1220,1157,1994,0.007536340852130325,-0.002268170426065155,0.03885714285714272,0.2357092731829577,False,True,True,False,1685.0,2020.0,1841.0,2082.0,837
21,1178,1210,1133,1965,-0.004245614035087664,-0.009784461152882186,0.0366065162907268,0.2640952380952385,False,True,True,False,1622.0,1921.0,1697.0,1967.0,832
22,1173,1196,1116,1204,-0.004671679197995,-0.004984962406015027,0.037609022556390974,0.007010025062656624,False,True,True,False,1616.0,1823.0,1626.0,1817.0,88
23,1145,1136,1101,1126,0.012385964912280702,-0.0025814536340852067,0.044308270676691686,-0.006250626566416043,False,False,True,True,1543.0,1739.0,1629.0,1782.0,44
24,1069,1157,1088,1117,-0.01083208020050122,-0.0018671679197994802,0.044508771929824574,-0.001062656641603998,True,False,False,True,1522.0,1706.0,1540.0,1687.0,88
25,1139,1136,1068,1359,0.02593233082706768,-0.0037669172932330865,0.043814536340852084,0.06982957393483707,False,True,True,False,1525.0,1724.0,1453.0,1653.0,291
26,1058,1222,1033,1368,0.004857142857142862,0.028651629072681713,-0.009739348370927313,0.07735839598997496,False,True,True,False,1503.0,1682.0,1430.0,1612.0,335
27,1070,1565,1096,1561,0.00751127819548873,0.17270175438596502,0.030102756892230586,0.2017744360902256,True,False,False,True,1404.0,1604.0,1430.0,1628.0,495
28,1100,1322,1053,1325,0.01933082706766918,0.06565413533834577,0.02385714285714289,0.08710526315789474,False,True,True,False,1381.0,1553.0,1435.0,1604.0,272
29,1021,1363,976,1236,-0.017283208020050126,0.08530325814536338,0.0029172932330827025,0.044989974937343365,False,True,False,True,1373.0,1554.0,1363.0,1553.0,387
30,1067,1241,998,1288,0.017040100250626543,0.05474436090225561,0.006305764411027564,0.08169924812030079,False,True,True,False,1431.0,1576.0,1331.0,1488.0,290
31,1021,1439,1022,1435,0.01267418546365915,0.13683208020050114,0.002711779448621529,0.15567418546365924,True,False,False,True,1368.0,1567.0,1293.0,1519.0,418
32,1076,1504,1076,1468,0.03860401002506265,0.1959022556390981,0.025536340852130347,0.2157894736842104,True,False,False,True,1358.0,1517.0,1328.0,1485.0,428
33,1105,1029,1105,1298,0.04380952380952383,-0.001273182957393485,0.04242355889724311,0.12573934837092732,True,True,False,False,1353.0,1484.0,1339.0,1456.0,269
34,1422,1474,1391,1477,0.00897243107769423,-0.007293233082706723,2.5062656641811177e-06,-0.0063609022556390575,False,True,True,False,2113.0,2712.0,2047.0,2497.0,86
35,1460,1533,1424,1532,0.01856892230576442,-0.0011779448621553714,0.005706766917293228,-0.004468671679197991,False,True,False,True,2055.0,2489.0,2569.0,2702.0,109
36,1396,1488,1385,1486,-0.005150375939849626,-0.00929824561403505,0.024814536340852098,-0.004403508771929817,False,True,False,True,1949.0,2462.0,2407.0,2660.0,103
37,1374,1427,1346,1438,-0.009200501253132777,-0.009235588972431036,0.026789473684210526,-0.0018872180451127716,False,True,True,False,1952.0,2382.0,2260.0,2526.0,92
38,1254,1377,1288,1317,-0.015260651629072659,-0.006010025062656675,0.035110275689222994,-0.006864661654135335,True,False,False,True,1826.0,2232.0,1819.0,2196.0,123
39,1193,1219,1218,1259,-0.01315037593984962,-0.007436090225563881,0.03871177944862153,-0.004215538847117787,True,False,True,False,1784.0,2077.0,1633.0,1988.0,66
40,1148,1192,1128,1194,0.004749373433583961,-0.003045112781954902,0.02063659147869672,-0.013927318295739365,False,True,True,False,1620.0,1913.0,1616.0,1916.0,66
41,1159,1183,1137,1212,0.008491228070175449,0.0012305764411027346,0.026934837092731808,-9.52380952380976e-05,False,True,True,False,1628.0,1865.0,1607.0,1823.0,75
42,1112,1117,1039,1183,-0.00015538847117793406,-0.003223057644110257,-0.018065162907268176,-0.005370927318295753,False,True,True,False,1565.0,1784.0,1539.0,1753.0,144
43,1116,1113,1079,1167,0.008902255639097741,0.002395989974937348,0.0006040100250626727,0.0040250626566416346,False,True,True,False,1630.0,1767.0,1485.0,1659.0,88
44,1082,1111,1059,1308,0.01248621553884712,5.513784461152992e-05,0.0008020050125313376,0.054533834586466164,False,True,True,False,1488.0,1690.0,1438.0,1643.0,249
45,1076,1118,1034,1381,0.018807017543859657,0.004233082706766913,-0.004872180451127813,0.09608020050125313,False,True,True,False,1432.0,1641.0,1405.0,1610.0,347
46,1085,1159,1061,1493,0.01972681704260652,0.01943859649122808,0.015388471177944852,0.1834160401002509,False,True,True,False,1408.0,1596.0,1411.0,1576.0,432
47,1017,1550,1079,1363,0.0013333333333333394,0.16414035087719295,0.02729573934837094,0.09155388471177947,True,False,False,True,1448.0,1651.0,1369.0,1580.0,533
48,1061,1178,1066,1465,0.007807017543859635,0.023020050125313288,0.012243107769423516,0.17693734335839634,True,False,True,False,1438.0,1609.0,1358.0,1540.0,404
49,1071,1507,996,1310,0.03354636591478697,0.1822982456140353,-0.013691729323308264,0.08991979949874693,False,True,False,True,1408.0,1573.0,1345.0,1502.0,511
50,1119,1290,1014,1344,0.053879699248120284,0.06362656641604017,-0.002401002506265687,0.09729323308270676,False,True,True,False,1345.0,1540.0,1318.0,1536.0,330
51,1038,1527,1072,1452,0.012253132832080193,0.20806015037594025,0.0265187969924812,0.2070075187969925,True,False,False,True,1373.0,1530.0,1319.0,1475.0,489
52,1068,1498,1143,1295,0.03285213032581453,0.21036340852130295,0.06179448621553881,0.12770426065162913,True,False,False,True,1381.0,1510.0,1323.0,1425.0,430
53,1088,1497,1127,1467,0.04963909774436091,0.2065764411027574,0.04715288220551383,0.23181704260651614,True,False,False,True,1323.0,1498.0,1309.0,1468.0,409
54,1025,1413,1095,1217,0.017749373433583966,0.16737593984962398,0.05037844611528817,0.08761403508771927,True,False,False,True,1324.0,1429.0,1337.0,1456.0,388
55,1084,1122,1018,1124,0.03737844611528821,0.03271679197994992,0.03061403508771928,0.05469172932330825,False,True,True,False,1319.0,1382.0,1320.0,1398.0,106
56,1119,1206,1117,1396,0.0634912280701754,0.07459899749373429,0.08081954887218054,0.23809774436090236,False,True,True,False,1281.0,1376.0,1306.0,1397.0,279
57,1160,1244,1037,1242,0.0731478696741854,0.09636340852130318,0.04979448621553883,0.13581704260651625,False,True,False,True,1312.0,1382.0,1275.0,1365.0,207
58,1039,1158,1115,1145,0.05184461152882205,0.06666416040100251,0.07561403508771931,0.05706265664160401,True,False,False,True,1244.0,1320.0,1322.0,1367.0,119
59,1063,1160,991,1160,0.05686716791979951,0.062315789473684186,0.03738596491228069,0.06416290726817045,False,True,True,False,1225.0,1307.0,1311.0,1368.0,169
60,1098,1172,975,1180,0.07345864661654139,0.0559874686716792,0.031543859649122825,0.0782606516290727,False,True,True,False,1240.0,1322.0,1300.0,1366.0,205
61,1046,1174,975,1173,0.03962155388471182,0.07040350877192986,0.03293734335839603,0.0837543859649123,False,True,False,True,1221.0,1287.0,1304.0,1339.0,199
62,1101,1120,889,1160,0.06471679197994977,0.03964661654135333,-2.5062656641575507e-06,0.08715037593984963,False,True,True,False,1241.0,1293.0,1268.0,1314.0,271
63,1128,1157,921,1158,0.09199749373433584,0.06146616541353385,0.007175438596491253,0.08977192982456131,False,True,True,False,1241.0,1306.0,1242.0,1299.0,237
64,986,1159,986,1184,0.008067669172932395,0.05378696741854636,0.054077694235589,0.09055137844611533,True,False,True,False,1249.0,1330.0,1199.0,1300.0,198
65,1145,1146,1045,1114,0.10412531328320797,0.051949874686716815,0.0668546365914787,0.05260651629072681,False,False,True,True,1291.0,1355.0,1201.0,1281.0,101
66,981,1142,1030,1099,0.019476190476190484,0.06257393483709274,0.03451127819548872,0.04826817042606516,True,False,False,True,1292.0,1327.0,1208.0,1254.0,161
67,1110,1148,987,1148,0.09831578947368423,0.060671679197995036,0.023170426065162883,0.07391979949874691,False,True,True,False,1255.0,1336.0,1189.0,1279.0,161
68,1099,1151,970,1157,0.08111278195488719,0.06032080200501249,0.01850125313283213,0.07945614035087724,False,True,True,False,1270.0,1341.0,1171.0,1275.0,187
69,1131,1157,917,1158,0.12010776942355901,0.0648145363408521,-0.02794486215538852,0.08536340852130328,False,True,True,False,1257.0,1339.0,1185.0,1281.0,241
70,1149,1165,1033,1101,0.11769924812030065,0.07398245614035091,0.042082706766917256,0.05787218045112784,False,False,True,True,1286.0,1336.0,1181.0,1250.0,132
