shot,sub_start,sub_end
2,9581,9621
3,5236,5276
4,4761,4801
5,4331,4371
6,4021,4061
7,3986,4026
8,3566,3606
9,3451,3491
10,3431,3471
11,3176,3216
12,3111,3151
13,3261,3301
14,3091,3131
15,6141,6181
16,5746,5786
17,5621,5661
18,5406,5446
19,4741,4781
20,4346,4386
21,4051,4091
22,3906,3946
23,3651,3691
24,3526,3566
25,3316,3356
26,3186,3226
27,3156,3196
28,2986,3026
29,2986,3026
30,2836,2876
31,2806,2846
32,2791,2831
33,2696,2736
34,5541,5581
35,5841,5881
36,5561,5601
37,5391,5431
38,4861,4901
39,4301,4341
40,4046,4086
41,3906,3946
42,3636,3676
43,3401,3441
44,3331,3371
45,3166,3206
46,3071,3111
47,3036,3076
48,2946,2986
49,2861,2901
50,2851,2891
51,2751,2791
52,2706,2746
53,2711,2751
54,2586,2626
55,2586,2626
56,2561,2601
57,2521,2561
58,2446,2486
59,2366,2406
60,2356,2396
61,2281,2321
62,2321,2361
63,2311,2351
64,2296,2336
65,2281,2321
66,2241,2281
67,2231,2271
68,2211,2251
69,2226,2266
70,2206,2246
71,2251,2291
72,2261,2301
73,2291,2331
74,2306,2346
75,2261,2301
76,2251,2291
77,2266,2306
78,2281,2321
79,2261,2301
80,2266,2306
81,2306,2346
82,2266,2306
83,2261,2301
84,2231,2271
85,2271,2311
86,2256,2296
87,2261,2301
88,2266,2306
89,2296,2336
90,2281,2321
91,2306,2346
92,2271,2311
93,2271,2311
94,2271,2311
95,2251,2291
96,2241,2281
97,2226,2266
98,2226,2266
99,2226,2266
100,2271,2311
101,2241,2281
102,2271,2311
103,2251,2291
104,2256,2296
105,2256,2296
106,2266,2306
107,2241,2281
108,2236,2276
109,2256,2296
110,2261,2301
111,2261,2301
112,2271,2311
113,2261,2301
114,2271,2311
115,2296,2336
116,2271,2311
117,2216,2256
118,2256,2296
119,2276,2316
120,2276,2316
121,2266,2306
122,2286,2326
123,2311,2351
124,2256,2296
125,2266,2306
126,2266,2306
127,2271,2311
128,2216,2256
129,2261,2301
130,2271,2311
131,2296,2336
132,2256,2296
133,2276,2316
134,2266,2306
135,2301,2341
136,2306,2346
137,2251,2291
138,2276,2316
139,2276,2316
140,2281,2321
141,2251,2291
142,2246,2286
143,2261,2301
144,2266,2306
145,2261,2301
146,2251,2291
147,2266,2306
148,2306,2346
149,2261,2301
150,2236,2276
151,2256,2296
152,2271,2311
153,2266,2306
154,2276,2316
155,2266,2306
156,2291,2331
157,2301,2341
158,2231,2271
159,2261,2301
160,2256,2296
161,2236,2276
162,2271,2311
163,2246,2286
164,2271,2311
165,2311,2351
166,2256,2296
167,2256,2296
168,2241,2281
169,2231,2271
170,2271,2311
171,2261,2301
172,2271,2311
173,2271,2311
174,2266,2306
175,2271,2311
176,2286,2326
177,2291,2331
178,2281,2321
179,2301,2341
180,2261,2301
181,2296,2336
182,2266,2306
183,2251,2291
184,2256,2296
185,2251,2291
186,2276,2316
187,2296,2336
188,2271,2311
189,2311,2351
190,2291,2331
191,2256,2296
192,2281,2321
193,2286,2326
194,2281,2321
195,2276,2316
196,2311,2351
197,2271,2311
198,2246,2286
199,2221,2261
200,2266,2306
201,2246,2286
202,2251,2291
203,2251,2291
204,2251,2291
205,2251,2291
206,2241,2281
207,2276,2316
208,2286,2326
209,2241,2281
210,2231,2271
211,2251,2291
212,2241,2281
213,2236,2276
214,2246,2286
215,2251,2291
216,2266,2306
217,2256,2296
218,2261,2301
219,2286,2326
220,2261,2301
221,2301,2341
222,2266,2306
223,2291,2331
224,2266,2306
225,2291,2331
226,2286,2326
227,2241,2281
228,2246,2286
229,2281,2321
230,2316,2356
231,2231,2271
232,2326,2366
233,2316,2356
234,2276,2316
235,2281,2321
236,2246,2286
237,2286,2326
238,2261,2301
239,2306,2346
240,2231,2271
241,2231,2271
242,2251,2291
243,2291,2331
244,2251,2291
245,2266,2306
246,2276,2316
247,2271,2311
248,2191,2231
249,2281,2321
250,2271,2311
251,2296,2336
252,2236,2276
253,2291,2331
254,2296,2336
255,2261,2301
256,2281,2321
257,2241,2281
258,2276,2316
259,2266,2306
260,2296,2336
261,2291,2331
262,2236,2276
263,2291,2331
264,2246,2286
265,2286,2326
266,2266,2306
267,2251,2291
268,2291,2331
269,2301,2341
270,2261,2301
271,2271,2311
272,2246,2286
273,2251,2291
274,2221,2261
275,2241,2281
276,2291,2331
277,2276,2316
278,2276,2316
279,2261,2301
280,2281,2321
281,2271,2311
282,2291,2331
283,2296,2336
284,2271,2311
285,2276,2316
286,2266,2306
287,2291,2331
288,2291,2331
289,2271,2311
290,2251,2291
291,2251,2291
292,2226,2266
293,2241,2281
294,2231,2271
295,2226,2266
296,2266,2306
297,2261,2301
298,2236,2276
299,2251,2291
300,2246,2286
301,2266,2306
302,5486,5526
303,4691,4731
304,4286,4326
305,3996,4036
306,3771,3811
307,3576,3616
308,3386,3426
309,3236,3276
310,3151,3191
311,3056,3096
312,2986,3026
313,2921,2961
314,2861,2901
315,2796,2836
316,2711,2751
317,2701,2741
318,2641,2681
319,2581,2621
320,2541,2581
321,2506,2546
322,2491,2531
323,2451,2491
324,2401,2441
325,2341,2381
326,2356,2396
327,2316,2356
328,2271,2311
