shot,sub_start,sub_end
2,9599,9619
3,5253,5273
4,4779,4799
5,4348,4368
6,4036,4056
7,4005,4025
8,3582,3602
9,3470,3490
10,3438,3458
11,3192,3212
12,3128,3148
13,3277,3297
14,3109,3129
15,6155,6175
16,5762,5782
17,5637,5657
18,5417,5437
19,4740,4760
20,4364,4384
21,4069,4089
22,3898,3918
23,3669,3689
24,3541,3561
25,3335,3355
26,3200,3220
27,3175,3195
28,3001,3021
29,3001,3021
30,2854,2874
31,2823,2843
32,2806,2826
33,2714,2734
34,5556,5576
35,5856,5876
36,5577,5597
37,5407,5427
38,4877,4897
39,4319,4339
40,4063,4083
41,3921,3941
42,3653,3673
43,3419,3439
44,3347,3367
45,3178,3198
46,3088,3108
47,3054,3074
48,2963,2983
49,2879,2899
50,2869,2889
51,2770,2790
52,2722,2742
53,2728,2748
54,2601,2621
55,2604,2624
56,2578,2598
57,2539,2559
58,2464,2484
59,2385,2405
60,2374,2394
61,2297,2317
62,2340,2360
63,2326,2346
64,2312,2332
65,2298,2318
66,2258,2278
67,2246,2266
68,2229,2249
69,2244,2264
70,2222,2242
71,2266,2286
72,2275,2295
73,2306,2326
74,2321,2341
75,2278,2298
76,2268,2288
77,2282,2302
78,2297,2317
79,2276,2296
80,2285,2305
81,2323,2343
82,2285,2305
83,2276,2296
84,2247,2267
85,2290,2310
86,2275,2295
87,2275,2295
88,2285,2305
89,2310,2330
90,2299,2319
91,2302,2322
92,2285,2305
93,2289,2309
94,2285,2305
95,2269,2289
96,2259,2279
97,2242,2262
98,2242,2262
99,2241,2261
100,2286,2306
101,2257,2277
102,2286,2306
103,2268,2288
104,2272,2292
105,2274,2294
106,2285,2305
107,2257,2277
108,2252,2272
109,2273,2293
110,2277,2297
111,2276,2296
112,2286,2306
113,2276,2296
114,2288,2308
115,2314,2334
116,2290,2310
117,2235,2255
118,2273,2293
119,2291,2311
120,2295,2315
121,2279,2299
122,2305,2325
123,2328,2348
124,2273,2293
125,2280,2300
126,2282,2302
127,2287,2307
128,2233,2253
129,2279,2299
130,2288,2308
131,2314,2334
132,2271,2291
133,2293,2313
134,2283,2303
135,2317,2337
136,2321,2341
137,2269,2289
138,2290,2310
139,2294,2314
140,2299,2319
141,2269,2289
142,2265,2285
143,2276,2296
144,2282,2302
145,2276,2296
146,2270,2290
147,2280,2300
148,2325,2345
149,2276,2296
150,2252,2272
151,2273,2293
152,2289,2309
153,2283,2303
154,2295,2315
155,2281,2301
156,2306,2326
157,2317,2337
158,2247,2267
159,2276,2296
160,2271,2291
161,2254,2274
162,2290,2310
163,2264,2284
164,2289,2309
165,2328,2348
166,2274,2294
167,2273,2293
168,2258,2278
169,2249,2269
170,2287,2307
171,2279,2299
172,2283,2303
173,2289,2309
174,2281,2301
175,2287,2307
176,2301,2321
177,2307,2327
178,2296,2316
179,2319,2339
180,2278,2298
181,2312,2332
182,2284,2304
183,2263,2283
184,2275,2295
185,2266,2286
186,2294,2314
187,2315,2335
188,2287,2307
189,2327,2347
190,2306,2326
191,2274,2294
192,2300,2320
193,2303,2323
194,2296,2316
195,2292,2312
196,2327,2347
197,2285,2305
198,2264,2284
199,2239,2259
200,2284,2304
201,2264,2284
202,2268,2288
203,2267,2287
204,2267,2287
205,2266,2286
206,2256,2276
207,2295,2315
208,2305,2325
209,2258,2278
210,2246,2266
211,2268,2288
212,2259,2279
213,2252,2272
214,2262,2282
215,2265,2285
216,2285,2305
217,2275,2295
218,2276,2296
219,2303,2323
220,2276,2296
221,2320,2340
222,2283,2303
223,2306,2326
224,2282,2302
225,2307,2327
226,2303,2323
227,2260,2280
228,2261,2281
229,2298,2318
230,2327,2347
231,2246,2266
232,2347,2367
233,2333,2353
234,2291,2311
235,2296,2316
236,2261,2281
237,2304,2324
238,2276,2296
239,2323,2343
240,2249,2269
241,2250,2270
242,2266,2286
243,2306,2326
244,2269,2289
245,2284,2304
246,2291,2311
247,2289,2309
248,2210,2230
249,2296,2316
250,2286,2306
251,2311,2331
252,2248,2268
253,2305,2325
254,2312,2332
255,2278,2298
256,2296,2316
257,2260,2280
258,2292,2312
259,2281,2301
260,2315,2335
261,2310,2330
262,2251,2271
263,2310,2330
264,2262,2282
265,2298,2318
266,2281,2301
267,2268,2288
268,2308,2328
269,2319,2339
270,2278,2298
271,2286,2306
272,2265,2285
273,2268,2288
274,2233,2253
275,2256,2276
276,2307,2327
277,2292,2312
278,2293,2313
279,2278,2298
280,2297,2317
281,2288,2308
