shot,sub_start,sub_end
2,9588,9608
3,5243,5263
4,4769,4789
5,4337,4357
6,4023,4043
7,3994,4014
8,3572,3592
9,3459,3479
10,3432,3452
11,3181,3201
12,3117,3137
13,3266,3286
14,3098,3118
15,6145,6165
16,5751,5771
17,5625,5645
18,5411,5431
19,4746,4766
20,4352,4372
21,4058,4078
22,3892,3912
23,3658,3678
24,3529,3549
25,3325,3345
26,3195,3215
27,3164,3184
28,2990,3010
29,2990,3010
30,2844,2864
31,2812,2832
32,2796,2816
33,2703,2723
34,5547,5567
35,5844,5864
36,5566,5586
37,5397,5417
38,4866,4886
39,4309,4329
40,4051,4071
41,3912,3932
42,3643,3663
43,3408,3428
44,3337,3357
45,3172,3192
46,3079,3099
47,3044,3064
48,2952,2972
49,2869,2889
50,2859,2879
51,2760,2780
52,2712,2732
53,2718,2738
54,2590,2610
55,2594,2614
56,2567,2587
57,2529,2549
58,2454,2474
59,2374,2394
60,2363,2383
61,2287,2307
62,2329,2349
63,2314,2334
64,2301,2321
65,2287,2307
66,2248,2268
67,2236,2256
68,2219,2239
69,2234,2254
70,2211,2231
71,2255,2275
72,2265,2285
73,2295,2315
74,2309,2329
75,2267,2287
76,2256,2276
77,2271,2291
78,2285,2305
79,2265,2285
80,2273,2293
81,2313,2333
82,2274,2294
83,2265,2285
84,2235,2255
85,2278,2298
86,2263,2283
87,2264,2284
88,2273,2293
89,2299,2319
90,2290,2310
91,2292,2312
92,2276,2296
93,2278,2298
94,2275,2295
95,2258,2278
96,2248,2268
97,2232,2252
98,2232,2252
99,2231,2251
100,2275,2295
101,2247,2267
102,2274,2294
103,2257,2277
104,2260,2280
105,2262,2282
106,2274,2294
107,2246,2266
108,2241,2261
109,2263,2283
110,2265,2285
111,2264,2284
112,2276,2296
113,2265,2285
114,2278,2298
115,2302,2322
116,2279,2299
117,2224,2244
118,2264,2284
119,2279,2299
120,2284,2304
121,2269,2289
122,2292,2312
123,2318,2338
124,2262,2282
125,2268,2288
126,2271,2291
127,2276,2296
128,2222,2242
129,2269,2289
130,2278,2298
131,2303,2323
132,2260,2280
133,2282,2302
134,2273,2293
135,2305,2325
136,2310,2330
137,2257,2277
138,2279,2299
139,2284,2304
140,2288,2308
141,2258,2278
142,2254,2274
143,2265,2285
144,2271,2291
145,2264,2284
146,2259,2279
147,2270,2290
148,2315,2335
149,2266,2286
150,2242,2262
151,2263,2283
152,2280,2300
153,2273,2293
154,2285,2305
155,2270,2290
156,2296,2316
157,2305,2325
158,2236,2256
159,2265,2285
160,2260,2280
161,2244,2264
162,2280,2300
163,2253,2273
164,2280,2300
165,2318,2338
166,2262,2282
167,2262,2282
168,2246,2266
169,2238,2258
170,2276,2296
171,2268,2288
172,2274,2294
173,2278,2298
174,2269,2289
175,2276,2296
176,2289,2309
177,2297,2317
178,2286,2306
179,2308,2328
180,2267,2287
181,2301,2321
182,2274,2294
183,2256,2276
184,2265,2285
185,2259,2279
186,2284,2304
187,2305,2325
188,2276,2296
189,2317,2337
190,2295,2315
191,2263,2283
192,2289,2309
193,2293,2313
194,2285,2305
195,2280,2300
196,2315,2335
197,2275,2295
198,2254,2274
199,2229,2249
200,2274,2294
201,2253,2273
202,2257,2277
203,2256,2276
204,2257,2277
205,2255,2275
206,2244,2264
207,2283,2303
