shot,sub_start,sub_end
2,9339,9666
3,5019,5311
4,4725,4845
5,4195,4439
6,4019,4110
7,1928,2286
8,3420,3641
9,2182,4307
10,2152,2452
11,2246,3272
12,1997,2297
13,2230,2530
14,2247,2547
15,4066,4366
16,5504,5811
17,5371,5700
18,5362,5490
19,4679,4818
20,4183,4435
21,3910,4161
22,3905,3989
23,3550,3763
24,3508,3612
25,3255,3390
26,3133,3268
27,3139,3266
28,2867,3077
29,3003,3090
30,2759,2908
31,2760,2880
32,2775,2875
33,2681,2778
34,5359,5607
35,5587,5911
36,5322,5633
37,5178,5469
38,4693,5474
39,4244,4384
40,4043,4147
41,3891,3987
42,3637,3721
43,3327,3471
44,3318,3418
45,3158,3257
46,3035,3156
47,2991,3116
48,2896,3022
49,2814,2942
50,2864,2943
51,2731,2836
52,2660,2784
53,2718,2808
54,2505,2676
55,2487,2690
56,2588,2677
57,2545,2637
58,2355,2554
59,2292,2453
60,2276,2448
61,2207,2366
62,2187,2593
63,2251,2416
64,2319,2399
65,2240,2362
66,2195,2317
67,2184,2308
68,2155,2283
69,2179,2304
70,2146,2276
71,2236,2334
72,2275,2360
73,2257,2558
74,2265,2593
75,2251,2344
76,2185,2350
77,2191,2526
78,2214,2409
79,2184,2371
80,2199,2373
81,2334,2634
82,2199,2366
83,2163,2374
84,2154,2324
85,2205,2388
86,2193,2360
87,2191,2350
88,2199,2366
89,2219,2394
90,2293,2379
91,2304,2387
92,2281,2364
93,2202,2376
94,2186,2385
95,2155,2374
96,2170,2336
97,2156,2312
98,2147,2322
99,2159,2313
100,2199,2371
101,2170,2337
102,2213,2386
103,2184,2353
104,2184,2354
105,2176,2360
106,2205,2371
107,2169,2337
108,2173,2323
109,2192,2352
110,2184,2356
111,2181,2366
112,2287,2369
113,2244,2344
114,2259,2358
115,2301,2428
116,2191,2529
117,2194,2291
118,2258,2345
119,2199,2384
120,2183,2545
121,2267,2352
122,2310,2449
123,2329,2597
124,2217,2359
125,2195,2358
126,2199,2356
127,2195,2377
128,2189,2290
129,2260,2350
130,2282,2367
131,2224,2417
132,2226,2357
133,2230,2400
134,2274,2364
135,2334,2453
136,2309,2393
137,2174,2352
138,2195,2377
139,2205,2387
140,2233,2420
141,2173,2360
142,2185,2334
143,2203,2351
144,2191,2367
145,2237,2335
146,2181,2374
147,2272,2357
148,2323,2432
149,2239,2344
150,2208,2318
151,2250,2344
152,2287,2371
153,2250,2349
154,2303,2377
155,2184,2366
156,2310,2412
157,2336,2469
158,2182,2304
159,2211,2334
160,2206,2327
161,2185,2315
162,2263,2358
163,2220,2329
164,2286,2372
165,2328,2419
166,2201,2356
167,2135,2513
168,2166,2336
169,2165,2325
170,2204,2369
171,2194,2365
172,2284,2363
173,2192,2415
174,2174,2384
175,2206,2371
176,2215,2404
177,2309,2393
178,2291,2378
179,2266,2428
180,2241,2336
181,2270,2374
182,2233,2346
183,2199,2324
184,2244,2343
185,2246,2339
186,2267,2364
187,2311,2400
188,2251,2355
189,2329,2596
190,2277,2570
191,2236,2341
192,2210,2378
193,2285,2377
194,2202,2377
195,2203,2388
196,2261,2430
197,2266,2355
198,2209,2328
199,2185,2299
200,2248,2351
201,2240,2332
202,2177,2343
203,2183,2337
204,2186,2339
205,2180,2345
206,2162,2339
207,2196,2401
208,2233,2547
209,2172,2334
210,2165,2315
211,2177,2347
212,2174,2329
213,2165,2322
214,2174,2337
215,2181,2342
216,2193,2366
217,2180,2357
218,2162,2509
219,2254,2558
220,2186,2360
221,2327,2443
222,2230,2386
223,2316,2566
224,2213,2398
225,2311,2404
226,2231,2394
227,2169,2339
228,2197,2346
229,2210,2391
230,2262,2317
231,2168,2318
232,2184,2423
233,2283,2457
234,2265,2363
235,2231,2398
236,2177,2343
237,2298,2385
238,2261,2350
239,2321,2408
240,2156,2327
241,2158,2324
242,2182,2339
243,2215,2383
244,2181,2344
245,2191,2377
246,2207,2378
247,2250,2350
248,2161,2263
249,2234,2394
250,2245,2352
251,2306,2396
252,2213,2314
253,2246,2426
254,2307,2389
255,2228,2342
256,2204,2384
257,2148,2362
258,2295,2373
259,2191,2362
260,2217,2404
261,2266,2570
262,2229,2322
263,2308,2401
264,2223,2327
265,2297,2380
266,2198,2368
267,2222,2331
268,2309,2609
269,2272,2446
270,2233,2346
271,2196,2392
272,2177,2340
273,2182,2348
274,2199,2305
275,2168,2333
276,2218,2409
277,2207,2384
278,2233,2397
279,2214,2379
280,2300,2381
281,2202,2379
282,2228,2417
283,2273,2433
284,2283,2365
285,2275,2367
286,2215,2340
287,2302,2397
288,2304,2383
289,2201,2388
290,2180,2350
291,2231,2335
292,2183,2301
293,2201,2316
294,2212,2315
295,2198,2300
296,2251,2352
297,2244,2345
298,2191,2314
299,2198,2323
300,2240,2331
301,2280,2367
302,5059,5454
303,4574,4754
304,4177,4362
305,3915,4070
306,3619,3856
307,3426,3667
308,3265,3488
309,3132,3308
310,3083,3224
311,2993,3132
312,2972,3068
313,2876,2996
314,2824,2940
315,2732,2870
316,2639,2785
317,2643,2776
318,2575,2715
319,2536,2660
320,2482,2618
321,2436,2572
322,2442,2570
323,2464,2554
324,2312,2497
325,2261,2429
326,2239,2454
327,2310,2402
328,2230,2351
329,2196,2380
330,2331,2467
331,2304,2432
332,2181,2354
333,2213,2417
334,2195,2528
335,2186,2530
336,2185,2370
337,2334,2426
338,2202,2396
339,2225,2406
340,2229,2413
341,2249,2420
342,2217,2355
343,2207,2404
344,2206,2401
345,2262,2409
346,2259,2347
347,2195,2369
348,2224,2408
349,2225,2392
350,2265,2357
351,2174,2344
352,2256,2354
353,2218,2405
354,2287,2376
355,2192,2359
356,2185,2355
357,2255,2412
358,2273,2421
359,2197,2381
360,2188,2364
361,2197,2360
362,2210,2366
363,2245,2401
364,2165,2366
365,2219,2389
366,2203,2359
367,2228,2449
368,2175,2335
369,2298,2385
370,2211,2318
371,2320,2408
372,2179,2545
373,2172,2339
374,2244,2548
375,2239,2335
376,2328,2411
377,2279,2370
378,2263,2358
379,2281,2365
380,2284,2453
381,2226,2414
382,2270,2367
383,2297,2390
384,2275,2379
385,2265,2354
386,2252,2356
387,2331,2437
388,2300,2386
389,2171,2348
390,2223,2420
391,2282,2366
392,2231,2335
393,2301,2380
394,2200,2360
395,2185,2361
396,2250,2345
397,2225,2400
398,2290,2371
399,2311,2397
400,2309,2415
401,2298,2382
402,2251,2339
403,2285,2372
404,2275,2386
405,2209,2327
406,2269,2360
407,2176,2351
408,2204,2365
409,2268,2319
410,2305,2404
411,2217,2331
412,2235,2346
413,2295,2384
414,2270,2366
415,2299,2400
416,2205,2323
417,2225,2345
418,2248,2346
419,2308,2399
420,2386,2686
421,2264,2373
422,2215,2332
423,2196,2322
424,2190,2299
425,2228,2335
426,2269,2371
427,2226,2353
428,2273,2363
429,2238,2338
430,2304,2392
431,2254,2354
432,2216,2411
433,2316,2419
434,2269,2360
435,2296,2383
436,2255,2343
437,2193,2392
438,2259,2437
439,2193,2357
440,2190,2361
441,2167,2332
442,2204,2409
443,2206,2549
444,2285,2373
445,2192,2406
446,2247,2404
447,2238,2405
448,2223,2356
449,2236,2336
450,2331,2420
451,2247,2345
452,2247,2342
453,2279,2361
454,2190,2359
